,types,c.1.length.types..
369,HIGH WIND/BLIZZARD,24
370,HIGH WIND/BLIZZARD/FREEZING RA,24
371,HIGH WIND/HEAVY SNOW,24
372,HIGH WIND/LOW WIND CHILL,24
373,HIGH WIND/SEAS,24
374,HIGH WIND/WIND CHILL,24
375,HIGH WIND/WIND CHILL/BLIZZARD,24
376,HIGH WINDS,24
377,HIGH WINDS 55,24
378,HIGH WINDS 57,24
379,HIGH WINDS 58,24
380,HIGH WINDS 63,24
381,HIGH WINDS 66,24
382,HIGH WINDS 67,24
383,HIGH WINDS 73,24
384,HIGH WINDS 76,24
385,HIGH WINDS 80,24
386,HIGH WINDS 82,24
387,HIGH WINDS AND WIND CHILL,24
388,HIGH WINDS DUST STORM,24
389,HIGH WINDS HEAVY RAINS,24
390,HIGH WINDS/,24
391,HIGH WINDS/COASTAL FLOOD,24
392,HIGH WINDS/COLD,24
393,HIGH WINDS/FLOODING,24
394,HIGH WINDS/HEAVY RAIN,24
395,HIGH WINDS/SNOW,24
396,HIGHWAY FLOODING,15
397,Hot and Dry,9
398,HOT PATTERN,9
399,HOT SPELL,9
400,HOT WEATHER,9
401,HOT/DRY PATTERN,9
402,HURRICANE,25
403,Hurricane Edouard,25
404,HURRICANE EMILY,25
405,HURRICANE ERIN,25
406,HURRICANE FELIX,25
407,HURRICANE GORDON,25
408,HURRICANE OPAL,25
409,HURRICANE OPAL/HIGH WINDS,25
410,HURRICANE-GENERATED SWELLS,25
411,HURRICANE/TYPHOON,25
412,HVY RAIN,21
413,HYPERTHERMIA/EXPOSURE,12
414,HYPOTHERMIA,13
415,Hypothermia/Exposure,13
416,HYPOTHERMIA/EXPOSURE,13
417,ICE,17
418,ICE AND SNOW,17
419,ICE FLOES,17
420,Ice Fog,16
421,ICE JAM,17
422,Ice jam flood (minor,17
423,ICE JAM FLOODING,17
424,ICE ON ROAD,17
425,ICE PELLETS,17
426,ICE ROADS,17
427,ICE STORM,26
428,ICE STORM AND SNOW,26
429,ICE STORM/FLASH FLOOD,26
430,Ice/Snow,22
431,ICE/SNOW,22
432,ICE/STRONG WINDS,26
433,Icestorm/Blizzard,3
434,Icy Roads,17
435,ICY ROADS,17
436,LACK OF SNOW,NA
437,Lake Effect Snow,28
438,LAKE EFFECT SNOW,28
439,LAKE FLOOD,27
440,LAKE-EFFECT SNOW,28
441,LAKESHORE FLOOD,27
442,LANDSLIDE,6
443,LANDSLIDE/URBAN FLOOD,6
444,LANDSLIDES,6
445,Landslump,6
446,LANDSLUMP,6
447,LANDSPOUT,6
448,LARGE WALL CLOUD,NA
449,LATE FREEZE,17
450,LATE SEASON HAIL,19
451,LATE SEASON SNOW,22
452,Late Season Snowfall,22
453,LATE SNOW,22
454,Late-season Snowfall,22
455,LIGHT FREEZING RAIN,36
456,Light snow,48
457,Light Snow,48
458,LIGHT SNOW,48
459,LIGHT SNOW AND SLEET,48
460,Light Snow/Flurries,48
461,LIGHT SNOW/FREEZING PRECIP,48
462,Light Snowfall,48
463,LIGHTING,29
464,LIGHTNING,29
465,LIGHTNING  WAUSEON,29
466,LIGHTNING AND HEAVY RAIN,29
467,LIGHTNING AND THUNDERSTORM WIN,29
468,LIGHTNING AND WINDS,29
469,LIGHTNING DAMAGE,29
470,LIGHTNING FIRE,29
471,LIGHTNING INJURY,29
472,LIGHTNING THUNDERSTORM WINDS,29
473,LIGHTNING THUNDERSTORM WINDSS,29
474,LIGHTNING.,29
475,LIGHTNING/HEAVY RAIN,29
476,LIGNTNING,29
477,LOCAL FLASH FLOOD,14
478,LOCAL FLOOD,15
479,LOCALLY HEAVY RAIN,21
480,LOW TEMPERATURE,5
481,LOW TEMPERATURE RECORD,13
482,LOW WIND CHILL,5
483,MAJOR FLOOD,15
484,Marine Accident,31
485,MARINE HAIL,30
486,MARINE HIGH WIND,31
487,MARINE MISHAP,31
488,MARINE STRONG WIND,32
489,MARINE THUNDERSTORM WIND,33
490,MARINE TSTM WIND,33
491,"Metro Storm, May 26",21
492,Microburst,24
493,MICROBURST,24
494,MICROBURST WINDS,24
495,Mild and Dry Pattern,9
496,MILD PATTERN,9
497,MILD/DRY PATTERN,9
498,MINOR FLOOD,15
499,Minor Flooding,15
500,MINOR FLOODING,15
501,MIXED PRECIP,36
502,Mixed Precipitation,36
503,MIXED PRECIPITATION,36
504,MODERATE SNOW,22
505,MODERATE SNOWFALL,22
506,MONTHLY PRECIPITATION,21
507,Monthly Rainfall,21
508,MONTHLY RAINFALL,21
509,Monthly Snowfall,22
510,MONTHLY SNOWFALL,22
511,MONTHLY TEMPERATURE,NA
512,Mountain Snows,22
513,MUD SLIDE,6
514,MUD SLIDES,6
515,MUD SLIDES URBAN FLOODING,6
516,MUD/ROCK SLIDE,6
517,Mudslide,6
518,MUDSLIDE,6
519,MUDSLIDE/LANDSLIDE,6
520,Mudslides,6
521,MUDSLIDES,6
522,NEAR RECORD SNOW,22
523,No Severe Weather,NA
524,NON SEVERE HAIL,19
525,NON TSTM WIND,24
526,NON-SEVERE WIND DAMAGE,24
527,NON-TSTM WIND,24
528,NONE,NA
529,NORMAL PRECIPITATION,21
530,NORTHERN LIGHTS,NA
531,Other,NA
532,OTHER,NA
533,PATCHY DENSE FOG,7
534,PATCHY ICE,17
535,Prolong Cold,5
536,PROLONG COLD,5
537,PROLONG COLD/SNOW,5
538,PROLONG WARMTH,12
539,PROLONGED RAIN,21
540,RAIN,21
541,RAIN (HEAVY),21
542,RAIN AND WIND,21
543,Rain Damage,21
544,RAIN/SNOW,22
545,RAIN/WIND,21
546,RAINSTORM,21
547,RAPIDLY RISING WATER,15
548,RECORD  COLD,13
549,Record Cold,13
550,RECORD COLD,13
551,RECORD COLD AND HIGH WIND,13
552,RECORD COLD/FROST,13
553,RECORD COOL,13
554,Record dry month,9
555,RECORD DRYNESS,9
556,Record Heat,12
557,RECORD HEAT,12
558,RECORD HEAT WAVE,12
559,Record High,12
560,RECORD HIGH,12
561,RECORD HIGH TEMPERATURE,12
562,RECORD HIGH TEMPERATURES,12
563,RECORD LOW,13
564,RECORD LOW RAINFALL,9
565,Record May Snow,22
566,RECORD PRECIPITATION,21
567,RECORD RAINFALL,21
568,RECORD SNOW,22
569,RECORD SNOW/COLD,22
570,RECORD SNOWFALL,22
571,Record temperature,12
572,RECORD TEMPERATURE,12
573,Record Temperatures,12
574,RECORD TEMPERATURES,12
575,RECORD WARM,12
576,RECORD WARM TEMPS.,12
577,Record Warmth,12
578,RECORD WARMTH,12
579,Record Winter Snow,22
580,RECORD/EXCESSIVE HEAT,12
581,RECORD/EXCESSIVE RAINFALL,21
582,RED FLAG CRITERIA,NA
583,RED FLAG FIRE WX,NA
584,REMNANTS OF FLOYD,NA
585,RIP CURRENT,34
586,RIP CURRENTS,34
587,RIP CURRENTS HEAVY SURF,34
588,RIP CURRENTS/HEAVY SURF,34
589,RIVER AND STREAM FLOOD,15
590,RIVER FLOOD,15
591,River Flooding,15
592,RIVER FLOODING,15
593,ROCK SLIDE,6
594,ROGUE WAVE,23
595,ROTATING WALL CLOUD,18
596,ROUGH SEAS,23
597,ROUGH SURF,23
598,RURAL FLOOD,15
599,Saharan Dust,11
600,SAHARAN DUST,11
601,Seasonal Snowfall,22
602,SEICHE,35
603,SEVERE COLD,13
604,SEVERE THUNDERSTORM,39
605,SEVERE THUNDERSTORM WINDS,39
606,SEVERE THUNDERSTORMS,39
607,SEVERE TURBULENCE,39
608,SLEET,36
609,SLEET & FREEZING RAIN,36
610,SLEET STORM,36
611,SLEET/FREEZING RAIN,36
612,SLEET/ICE STORM,36
613,SLEET/RAIN/SNOW,36
614,SLEET/SNOW,36
615,small hail,19
616,Small Hail,19
617,SMALL HAIL,19
618,SMALL STREAM,15
619,SMALL STREAM AND,15
620,SMALL STREAM AND URBAN FLOOD,15
621,SMALL STREAM AND URBAN FLOODIN,15
622,SMALL STREAM FLOOD,15
623,SMALL STREAM FLOODING,15
624,SMALL STREAM URBAN FLOOD,15
625,SMALL STREAM/URBAN FLOOD,15
626,Sml Stream Fld,15
627,SMOKE,8
628,Snow,22
629,SNOW,22
630,Snow Accumulation,22
631,SNOW ACCUMULATION,22
632,SNOW ADVISORY,22
633,SNOW AND COLD,22
634,SNOW AND HEAVY SNOW,22
635,Snow and Ice,22
636,SNOW AND ICE,22
637,SNOW AND ICE STORM,22
638,Snow and sleet,22
639,SNOW AND SLEET,22
640,SNOW AND WIND,22
641,SNOW DROUGHT,22
642,SNOW FREEZING RAIN,22
643,SNOW SHOWERS,22
644,SNOW SLEET,22
645,SNOW SQUALL,22
646,Snow squalls,22
647,Snow Squalls,22
648,SNOW SQUALLS,22
649,SNOW- HIGH WIND- WIND CHILL,22
650,SNOW/ BITTER COLD,22
651,SNOW/ ICE,22
652,SNOW/BLOWING SNOW,22
653,SNOW/COLD,22
654,SNOW/FREEZING RAIN,22
655,SNOW/HEAVY SNOW,22
656,SNOW/HIGH WINDS,22
657,SNOW/ICE,22
658,SNOW/ICE STORM,22
659,SNOW/RAIN,22
660,SNOW/RAIN/SLEET,22
661,SNOW/SLEET,22
662,SNOW/SLEET/FREEZING RAIN,22
663,SNOW/SLEET/RAIN,22
664,SNOW\COLD,22
665,SNOWFALL RECORD,22
666,SNOWMELT FLOODING,15
667,SNOWSTORM,22
668,SOUTHEAST,NA
669,STORM FORCE WINDS,24
670,STORM SURGE,23
671,STORM SURGE/TIDE,23
672,STREAM FLOODING,15
673,STREET FLOOD,15
674,STREET FLOODING,15
675,Strong Wind,24
676,STRONG WIND,24
677,STRONG WIND GUST,24
678,Strong winds,24
679,Strong Winds,24
680,STRONG WINDS,24
681,Summary August 10,NA
682,Summary August 11,NA
683,Summary August 17,NA
684,Summary August 2-3,NA
685,Summary August 21,NA
686,Summary August 28,NA
687,Summary August 4,NA
688,Summary August 7,NA
689,Summary August 9,NA
690,Summary Jan 17,NA
691,Summary July 23-24,NA
692,Summary June 18-19,NA
693,Summary June 5-6,NA
694,Summary June 6,NA
695,Summary of April 12,NA
696,Summary of April 13,NA
697,Summary of April 21,NA
698,Summary of April 27,NA
699,Summary of April 3rd,NA
700,Summary of August 1,NA
701,Summary of July 11,NA
702,Summary of July 2,NA
703,Summary of July 22,NA
704,Summary of July 26,NA
705,Summary of July 29,NA
706,Summary of July 3,NA
707,Summary of June 10,NA
708,Summary of June 11,NA
709,Summary of June 12,NA
710,Summary of June 13,NA
711,Summary of June 15,NA
712,Summary of June 16,NA
713,Summary of June 18,NA
714,Summary of June 23,NA
715,Summary of June 24,NA
716,Summary of June 3,NA
717,Summary of June 30,NA
718,Summary of June 4,NA
719,Summary of June 6,NA
720,Summary of March 14,NA
721,Summary of March 23,NA
722,Summary of March 24,NA
723,SUMMARY OF MARCH 24-25,NA
724,SUMMARY OF MARCH 27,NA
725,SUMMARY OF MARCH 29,NA
726,Summary of May 10,NA
727,Summary of May 13,NA
728,Summary of May 14,NA
729,Summary of May 22,NA
730,Summary of May 22 am,NA
731,Summary of May 22 pm,NA
732,Summary of May 26 am,NA
733,Summary of May 26 pm,NA
734,Summary of May 31 am,NA
735,Summary of May 31 pm,NA
736,Summary of May 9-10,NA
737,Summary Sept. 25-26,NA
738,Summary September 20,NA
739,Summary September 23,NA
740,Summary September 3,NA
741,Summary September 4,NA
742,Summary: Nov. 16,NA
743,Summary: Nov. 6-7,NA
744,Summary: Oct. 20-21,NA
745,Summary: October 31,NA
746,Summary: Sept. 18,NA
747,Temperature record,12
748,THUDERSTORM WINDS,39
749,THUNDEERSTORM WINDS,39
750,THUNDERESTORM WINDS,39
751,THUNDERSNOW,39
752,Thundersnow shower,39
753,THUNDERSTORM,39
754,THUNDERSTORM  WINDS,39
755,THUNDERSTORM DAMAGE,39
756,THUNDERSTORM DAMAGE TO,39
757,THUNDERSTORM HAIL,39
758,THUNDERSTORM W INDS,39
759,Thunderstorm Wind,39
760,THUNDERSTORM WIND,39
761,THUNDERSTORM WIND (G40),39
762,THUNDERSTORM WIND 50,39
763,THUNDERSTORM WIND 52,39
764,THUNDERSTORM WIND 56,39
765,THUNDERSTORM WIND 59,39
766,THUNDERSTORM WIND 59 MPH,39
767,THUNDERSTORM WIND 59 MPH.,39
768,THUNDERSTORM WIND 60 MPH,39
769,THUNDERSTORM WIND 65 MPH,39
770,THUNDERSTORM WIND 65MPH,39
771,THUNDERSTORM WIND 69,39
772,THUNDERSTORM WIND 98 MPH,39
773,THUNDERSTORM WIND G50,39
774,THUNDERSTORM WIND G51,39
775,THUNDERSTORM WIND G52,39
776,THUNDERSTORM WIND G55,39
777,THUNDERSTORM WIND G60,39
778,THUNDERSTORM WIND G61,39
779,THUNDERSTORM WIND TREES,39
780,THUNDERSTORM WIND.,39
781,THUNDERSTORM WIND/ TREE,39
782,THUNDERSTORM WIND/ TREES,39
783,THUNDERSTORM WIND/AWNING,39
784,THUNDERSTORM WIND/HAIL,39
785,THUNDERSTORM WIND/LIGHTNING,39
786,THUNDERSTORM WINDS,39
787,THUNDERSTORM WINDS      LE CEN,39
788,THUNDERSTORM WINDS 13,39
789,THUNDERSTORM WINDS 2,39
790,THUNDERSTORM WINDS 50,39
791,THUNDERSTORM WINDS 52,39
792,THUNDERSTORM WINDS 53,39
793,THUNDERSTORM WINDS 60,39
794,THUNDERSTORM WINDS 61,39
795,THUNDERSTORM WINDS 62,39
796,THUNDERSTORM WINDS 63 MPH,39
797,THUNDERSTORM WINDS AND,39
798,THUNDERSTORM WINDS FUNNEL CLOU,39
799,THUNDERSTORM WINDS G,39
800,THUNDERSTORM WINDS G60,39
801,THUNDERSTORM WINDS HAIL,39
802,THUNDERSTORM WINDS HEAVY RAIN,39
803,THUNDERSTORM WINDS LIGHTNING,39
804,THUNDERSTORM WINDS SMALL STREA,39
805,THUNDERSTORM WINDS URBAN FLOOD,39
806,THUNDERSTORM WINDS.,39
807,THUNDERSTORM WINDS/ FLOOD,39
808,THUNDERSTORM WINDS/ HAIL,39
809,THUNDERSTORM WINDS/FLASH FLOOD,39
810,THUNDERSTORM WINDS/FLOODING,39
811,THUNDERSTORM WINDS/FUNNEL CLOU,39
812,THUNDERSTORM WINDS/HAIL,39
813,THUNDERSTORM WINDS/HEAVY RAIN,39
814,THUNDERSTORM WINDS53,39
815,THUNDERSTORM WINDSHAIL,39
816,THUNDERSTORM WINDSS,39
817,THUNDERSTORM WINS,39
818,THUNDERSTORMS,39
819,THUNDERSTORMS WIND,39
820,THUNDERSTORMS WINDS,39
821,THUNDERSTORMW,39
822,THUNDERSTORMW 50,39
823,THUNDERSTORMW WINDS,39
824,THUNDERSTORMWINDS,39
825,THUNDERSTROM WIND,39
826,THUNDERSTROM WINDS,39
827,THUNDERTORM WINDS,39
828,THUNDERTSORM WIND,39
829,THUNDESTORM WINDS,39
830,THUNERSTORM WINDS,39
831,TIDAL FLOOD,4
832,Tidal Flooding,4
833,TIDAL FLOODING,4
834,TORNADO,40
835,TORNADO DEBRIS,40
836,TORNADO F0,40
837,TORNADO F1,40
838,TORNADO F2,40
839,TORNADO F3,40
840,TORNADO/WATERSPOUT,40
841,TORNADOES,40
842,"TORNADOES, TSTM WIND, HAIL",40
843,TORNADOS,40
844,TORNDAO,40
845,TORRENTIAL RAIN,21
846,Torrential Rainfall,21
847,TROPICAL DEPRESSION,41
848,TROPICAL STORM,42
849,TROPICAL STORM ALBERTO,42
850,TROPICAL STORM DEAN,42
851,TROPICAL STORM GORDON,42
852,TROPICAL STORM JERRY,42
853,TSTM,39
854,TSTM HEAVY RAIN,39
855,Tstm Wind,39
856,TSTM WIND,39
857,TSTM WIND  (G45),39
858,TSTM WIND (41),39
859,TSTM WIND (G35),39
860,TSTM WIND (G40),39
861,TSTM WIND (G45),39
862,TSTM WIND 40,39
863,TSTM WIND 45,39
864,TSTM WIND 50,39
865,TSTM WIND 51,39
866,TSTM WIND 52,39
867,TSTM WIND 55,39
868,TSTM WIND 65),39
869,TSTM WIND AND LIGHTNING,39
870,TSTM WIND DAMAGE,39
871,TSTM WIND G45,39
872,TSTM WIND G58,39
873,TSTM WIND/HAIL,39
874,TSTM WINDS,39
